Emerging market by exchanges,,
,,
,,Domicile
B03WKL,Alexandria New Medical Center Co.,EGYPT
608263,Alexandria Real Est Inv,EGYPT
B1QGQZ,Alexandria Spinning & Weaving,EGYPT
272760,Alfa Holdings S.A.,BRAZIL
B037LQ,Alfa Ica (India) Limited,INDIA
601448,Alfa Laval (India) Ltd,INDIA
620776,Alfa Retailindo Idr500,INDONESIA
B03HLW,ALFA Transformers Limited,INDIA
204342,"Alfa, S.A.B. de C.V. Class A",MEXICO
B03HLX,Alfavision Overseas (India) Limited,INDIA
B00SX1,Alfred Herbert India Ltd.,INDIA
617476,ALi Corporation,TAIWAN
483820,Aliachem AS,CZECH REPUBLIC
B23FNB,Aliansce Shopping Centers S.A.,BRAZIL
B1JM88,Alicon Castalloy Limited,INDIA
216283,Alicorp SA,PERU
669332,Alijarah Holding,QATAR
201411,Alimenticias Noel Cop1,COLOMBIA
BCBV8J,Alimentos Derivados de la Cana SA,COLOMBIA
B8W8F1,Alior Bank SA,POLAND
B06K0B,Aliran Ihsan Resources Bhd,MALAYSIA
B03PJ2,Alka Diamond Industries Limited,INDIA
B03LDQ,Alka India Limited,INDIA
B1M263,Alka Securities Ltd,INDIA
B65WVR,ALKAL S.A.,POLAND
B3DMNX,Alkali Metals Ltd.,INDIA
B03MNM,Alkim Alkali Kimya A.S.,TURKEY
B03MNN,Alkim Kagit Sanayi ve Ticaret A.S.,TURKEY
601419,Alkyl Amines Chemicals Limited,INDIA
B01471,All America Latina Logistica S.A.,BRAZIL
B4VQ0L,All Ore Mineracao S.A.,BRAZIL
643166,"All Ring Tech Co., Ltd.",TAIWAN
670828,Allahabad Bank,INDIA
B17473,Allcargo Logistics Limited,INDIA
655693,Alliance Financial Group Bhd.,MALAYSIA
614710,Alliance Global Group Inc.,PHILIPPINES
B0N9YY,Alliance Insurance PSC,UNITED ARAB EMIRATES
B4Y1NQ,Alliance Integrated Metaliks Limited,INDIA
B292Z3,"Alliance Material Co., Ltd.",TAIWAN
B06Y3M,Alliance Mining Corp. Ltd.,SOUTH AFRICA
602163,Alliance Pharmaceu Zar0.01,SOUTH AFRICA
B1GTD3,"Alliance Select Foods International, Inc.",PHILIPPINES
B3B99K,Alliances Developpement Immobiliere (Ste) SA,MOROCCO
655246,Allianz Malaysia Bhd.,MALAYSIA
601714,Allied Banking Corp.,PHILIPPINES
B62376,Allied Biotech Corp,TAIWAN
B694NQ,"Allied Circuit Co., Ltd.",TAIWAN
B24DN2,Allied Computers International (Asia) Limited,INDIA
B1PPRM,Allied Digital Services Limited,INDIA
602038,Allied Electronics Corporation Limited,SOUTH AFRICA
B03Q4W,Allied Herbals Ltd.,INDIA
602169,"Allied Industrial Corp., Ltd.",TAIWAN
673769,Allied Material Technology Corp.,TAIWAN
611640,Allied Technologies Limited,SOUTH AFRICA
602005,Allis Electric Co. Ltd.,TAIWAN
B07Y2F,Allsec Technologies Limited,INDIA
662353,Alltek Technology Corp.,TAIWAN
B1GGX7,Alltop Technology Co. Ltd.,TAIWAN
453685,Alma Market S.A.,POLAND
205118,Almacenes Exito SA,COLOMBIA
B51SZP,Almeera Consumer Goods Co. QSC,QATAR
219257,Almendral S.A.,CHILE
B05L03,Almondz Global Securities Limited,INDIA
614304,Alok Industries Limited,INDIA
B891Y9,Alor Bank OAO,RUSSIA
B1LHFQ,Alpa Laboratories Limited,INDIA
B07C79,Alpargatas SA Pfd,BRAZIL
B85H8C,"Alpek, S.A.B. de C.V. Class A",MEXICO
B548GD,Alpha Crystal Tech Twd10,TAIWAN
B7SKMP,Alpha Graphic India Ltd,INDIA
635124,Alpha Hi-Tech Fuel Limited,INDIA
B1Z6LZ,Alpha Imaging Technology Corp.,TAIWAN
603220,Alpha Limited,SOUTH AFRICA
B1D7ZV,Alpha Microelectronics Corp.,TAIWAN
B04C5Z,Alpha Networks Inc.,TAIWAN
B3PLHM,Alphachips Corp,SOUTH KOREA
632683,Alphageo India Ltd.,INDIA
630952,Alphaland Corporation,PHILIPPINES
602153,Alphatec Electronics Public Co. Ltd.,THAILAND
639178,Alpine Housing Development Corporation Limited.,INDIA
643497,Alps Industries Limited,INDIA
B3PWFT,Alrosa-Nyurba OAO,RUSSIA
601764,Alsa Marine & Harvests Ltd.,INDIA
256301,"Alsea, S.A.B. de C.V.",MEXICO
602179,Alsons Cement Corporation,PHILIPPINES
688236,Alsons Consolidated Resources Inc.,PHILIPPINES
623083,Alstom India Limited,INDIA
613989,Alstom T&D India Ltd.,INDIA
559568,ALTA S.A.,POLAND
658084,Altek Corporation,TAIWAN
604824,Alter Abadi Idr500,INDONESIA
BBL51W,ALTERA Vagyonkezelo Nyrt Class B,HUNGARY
B068J4,Alterco S.A.,POLAND
B03MNQ,Alternatif Yatirim Ortakligi A.S.,TURKEY
B03MNP,Alternatifbank A.S.,TURKEY
B0CV51,Alti-Electronics Co,SOUTH KOREA
B03MNT,Altin Yunus Cesme Turistik Tesisler A.S.,TURKEY
B03MNR,Altinyag Kombinalari A.S.,TURKEY
B03MNS,Altinyildiz Mensucat ve Konfeksiyon Fabrikalari A.S.,TURKEY
B3MX2C,"Alton Sports Co., Ltd",SOUTH KOREA
206233,Altos Hornos de Mexico S.A.B. de C.V.,MEXICO
BD61BY,Altus Sistemas de Informatica SA,BRAZIL
602199,Alucon Public Co. Ltd.,THAILAND
602807,Aludie Npv,SOUTH AFRICA
B0565J,Alufluoride Ltd,INDIA
B2NJCW,Alumast S.A.,POLAND
B03J29,Alumeco India Extrusions Ltd.,INDIA
602195,Aluminium Co. of Malaysia Bhd.,MALAYSIA
B02JZ7,Aluminium du Maroc,MOROCCO
602197,Aluminium Of Korea Krw5000,SOUTH KOREA
204141,Amadeo Rossi Sa Com Npv,BRAZIL
B03PJC,Amal Ltd. (India),INDIA
602844,Amalgamated Appliance Holdings Limited,SOUTH AFRICA
602357,Amalgamated Beverage Industries,SOUTH AFRICA
B6SKVF,Amalgamated Electricity Co. Ltd.,INDIA
B0FZ3T,Amalgamated Electronic Corporation Ltd.,SOUTH AFRICA
602456,Amalgamated Industrial Steel Bhd.,MALAYSIA
682472,Amanah Capital Myr0.50,MALAYSIA
656699,Amanah Harta Tana Npv Units,MALAYSIA
605228,Amanah Harta Tanah Pnb,MALAYSIA
672684,Amanah Leasing Public Co. Ltd.,THAILAND
678068,Amanah Millenia Fd Myr1,MALAYSIA
B1LJQ0,AmanahRaya Real Estate Investment Trust,MALAYSIA
B1W7F6,Amani Trading & Exports Ltd.,INDIA
B0J2K9,Amar Remedies Limited,INDIA
B8BGVX,Amara Raja Batteries Limited,INDIA
B010S6,"Amarin Printing & Publishing Public Co., Ltd.",THAILAND
637722,Amarjothi Spinning Mills Limited,INDIA
659295,"Amata Corp. Public Co., Ltd.",THAILAND
B8705X,Amazing Microelectronic Corp.,TAIWAN
257669,Amazonia Celular Com Npv,BRAZIL
608488,Amb Holdings Zar0.00001,SOUTH AFRICA
603720,Ambalal Sarabhai Enterprises Limited,INDIA
BG7ZWY,Ambev SA,BRAZIL
633488,Ambica Agarbathies & Aroma Industries Ltd.,INDIA
B04DHX,Ambika Cotton Mills Limited,INDIA
614020,Ambit Microsystems,TAIWAN
673916,Ambit Properties Zar1.81,SOUTH AFRICA
B03HM5,Ambitious Plastomac Co. Ltd.,INDIA
B0FBYX,Ambra S.A.,POLAND
657879,Ambuja Cement East Inr10,INDIA
B09QQ1,Ambuja Cements Limited,INDIA
601780,Ambuja Electrocastings Ltd.,INDIA
643772,AMCO India Limited,INDIA
687023,Amcorp Properties Bhd.,MALAYSIA
688404,Amcorpgroup Berhad,MALAYSIA
B1TTLF,AMD Industries Limited,INDIA
665233,"AME, Inc.",TAIWAN
B5YLBJ,Amer Group Holding,EGYPT
212593,America Leasing SA,PERU
266747,America Movil SAB de CV Class L,MEXICO
282588,America Telecom SA,MEXICO
602947,American Standard San.,THAILAND
603794,Ameriyah Cement,EGYPT
604714,AMFB Holdings,MALAYSIA
604701,Amfirst Property T Myr1 Units,MALAYSIA
630559,Amforge Industries Limited,INDIA
B795MY,"Amia Co., Ltd.",TAIWAN
B00PQW,Amic Technology Co Twd10,TAIWAN
532724,Amica Wronki S.A.,POLAND
B7F2M3,Amiccom Electronics Corp.,TAIWAN
BDGTKQ,Amicogen Inc.,SOUTH KOREA
B01SF2,Amigo Logistics Twd10,TAIWAN
643169,"Amigo Technology Co., Ltd.",TAIWAN
B28T2K,Amil Participacoes S.A.,BRAZIL
B0485R,Amines & Plasticizers Ltd.,INDIA
B0141B,"Aminologics Co., Ltd.",SOUTH KOREA
B08YDJ,AmInvestment Group,MALAYSIA
B03LF0,Amit International Limited,INDIA
B03RM6,Amit Securities Limited,INDIA
656391,Amit Spinning Industries Ltd,INDIA
B3QLHR,"Amita Technologies, Inc.",TAIWAN
603171,Amlac Zar0.01,SOUTH AFRICA
B00LTK,Amlak Finance PJSC,UNITED ARAB EMIRATES
604702,AMMB Holdings Bhd.,MALAYSIA
B5B2V8,AMO Zil JSC,RUSSIA
B15SK5,Amorepacific Corp.,SOUTH KOREA
666593,"AmorePacific Group, Inc.",SOUTH KOREA
667235,"Amotech Co., Ltd",SOUTH KOREA
B0W1V7,Amoun Egp5,EGYPT
672797,"Ampire Co., Ltd.",TAIWAN
216090,Ampla Energia e Servicos S.A.,BRAZIL
B1B24B,Ampla Investimento Com Npv,BRAZIL
530253,Ampli S.A.,POLAND
644222,"Ampoc Far-East Co., Ltd.",TAIWAN
B1VJ98,Amradeep Industries Limited,INDIA
BG5GN5,Amrapali Capital & Finance Services Ltd.,INDIA
B03JLN,Amrapali Industries Limited,INDIA
B1VKJF,Amraworld Agrico Limited,INDIA
B07XWG,AmRest Holdings SE,POLAND
631855,Amreyah Pharmaceut Egp10,EGYPT
670818,Amrit Banaspati Co. Ltd.,INDIA
B054XM,Amrit Corp. Limited,INDIA
B915DM,Amrutanjan Health Care Limited,INDIA
659279,Amsteel Corporation Bhd.,MALAYSIA
646006,Amstelco Indonesia,INDONESIA
B02ZJ2,Amtek Auto Limited,INDIA
611162,Amtek Holdings Bhd.,MALAYSIA
B0JGGT,Amtek India Limited,INDIA
608408,Amtel Holdings Bhd.,MALAYSIA
618582,AmTRAN Technology Co. Ltd.,TAIWAN
B0B7YH,Amulya Leasing & Finance Ltd.,INDIA
602499,Amway (Malaysia) Holdings Bhd.,MALAYSIA
B3RVGC,"An-Shin Food Services Co., Ltd.",TAIWAN
B03MNW,Anadolu Anonim Tuerk Sigorta Sirketi A.S.,TURKEY
401272,Anadolu Biracilik,TURKEY
B03MNX,Anadolu Cam Sanayii A.S.,TURKEY
B03MNV,Anadolu Efes Biracilik ve Malt Sanayii A.S.,TURKEY
517553,Anadolu Gida Trl1000,TURKEY
B03MNY,Anadolu Hayat Emeklilik A.S.,TURKEY
B03MNZ,Anadolu Isuzu Otomotiv Sanayi ve Ticaret A.S. Class C,TURKEY
624818,Analabs Resources Bhd.,MALAYSIA
B4098Y,Analizy Online S.A.,POLAND
672691,Analog Integrations Corporation,TAIWAN
628735,Analog Technology Twd10,TAIWAN
603131,"Anam Electronics Co., Ltd",SOUTH KOREA
643881,Anam Information Technology Corp.,SOUTH KOREA
B3CV5D,Anand Credit Limited,INDIA
609455,Anand Projects Ltd.,INDIA
B7Y5QF,Ananda Development Co. Ltd.,THAILAND
B0BP4L,Anant Raj Ltd.,INDIA
B7KXH8,Ananthi Developers Ltd.,INDIA
B5W0TJ,"Anapass, Inc.",SOUTH KOREA
626132,Anar Industries Limited,INDIA
B23KRX,"Anchor Land Holdings, Inc.",PHILIPPINES
603175,Ancom Bhd.,MALAYSIA
B01SF9,Ancom Logistics Bhd.,MALAYSIA
203509,Andacor S.A.,CHILE
610552,Anderson Industrial Corp.,TAIWAN
643421,Andhi Chandra Auto Idr100,INDONESIA
658036,Andhra Bank Ltd,INDIA
614683,Andhra Cements Limited,INDIA
604179,Andhra Valley Pwr Inr10 (Demat Weekly,INDIA
B7FNMJ,Andino Investment Holding SAC,PERU
634954,Andrew Yule & Co. Ltd.,INDIA
B9H2RP,Andulela Investment Holdings Limited,SOUTH AFRICA
B3K8LL,Anel Elektrik Proje Taahhuet ve Ticaret A.S.,TURKEY
B0JBSN,Anel Telekomuenikasyon Elektronik Sistemleri Sanayi ve Ticaret A.g.,TURKEY
B03JLP,ANG Industries Limited,INDIA
628150,"Angel Yeast Co., Ltd Class A",CHINA
603367,Anglo Amer Props Zar2,SOUTH AFRICA
603234,Anglo American Coal Corp. Ltd.,SOUTH AFRICA
603264,Anglo American Gold Investment Co. Ltd.,SOUTH AFRICA
603330,Anglo American Industrial Corp. Ltd.,SOUTH AFRICA
603352,Anglo American Investment Trust Limited,SOUTH AFRICA
603158,Anglo American Platinum Corp. Ltd.,SOUTH AFRICA
676100,Anglo American Platinum Limited,SOUTH AFRICA
603252,Anglo American Plc,SOUTH AFRICA
B3BXMT,Anglo Ferrous Brazil,BRAZIL
603159,Anglo Philippine Holdings Corp.,PHILIPPINES
656565,AngloGold Ashanti Limited,SOUTH AFRICA
279608,Anhanguera Educacional Participacoes S.A,BRAZIL
630476,"Anhui Chaodong Cement Co., Ltd Class A",CHINA
656104,"Anhui Fangxing Science & Technology Co., Ltd Class A",CHINA
612215,"Anhui Golden Seed Winery Co., Ltd. Class A",CHINA
674166,Anhui Guotong Hi-Tech Pipes Industry Co. Ltd. Class A,CHINA
602225,"Anhui Heli Co., Ltd. Class A",CHINA
B02JHR,"Anhui Hengyuan Coal Industry and Electricity Power Co., Ltd. Class A",CHINA
638907,"Anhui Jianghuai Automobile Co., Ltd. Class A",CHINA
B00WZT,"Anhui Leimingkehua Co., Ltd Class A",CHINA
674449,"Anhui Liuguo Chemical Co., Ltd Class A",CHINA
613317,"Anhui Quanchai Engine Co., Ltd Class A",CHINA
642778,"Anhui Shanying Paper Industry Co., Ltd. Class A",CHINA
B010HV,"Anhui Sun-Create Electronics Co., Ltd Class A",CHINA
624684,Anhui Tongfeng Electronics Co. Ltd. Class A,CHINA
600447,Anhui Wanwei Updated High-Tech Material Industry Co. Ltd. Class A,CHINA
660858,"Anhui Water Resources Development Co., Ltd. Class A",CHINA
B5V3YM,"Anhui Xinhua Media Co., Ltd Class A",CHINA
629473,"Anhui Xinke New Materials Co., Ltd. Class A",CHINA
656585,Anik Industries Limited,INDIA
B29QQ0,Anil Limited,INDIA
631103,Anil Special Steel Industries Limited,INDIA
509235,Animex Pln2,POLAND
672215,Anjani Dham Industries Limited,INDIA
B03LRG,Anjani Finance Limited,INDIA
B04CBV,Anjani Portland Cement Limited,INDIA
B7VPB9,Anjani Synthetics Limited,INDIA
B8XYCD,Anka India Ltd.,INDIA
B235LM,Ankit Metal & Power Limited,INDIA
B03LF6,Ankur Drugs & Pharma Ltd.,INDIA
B03PJM,Ankush Finstock Limited,INDIA
604437,Ann Joo Resources Bhd.,MALAYSIA
655686,Ann Joo Steel Bhd.,MALAYSIA
B613CY,"Anncare Bio-Tech Center Co., Ltd.",TAIWAN
B6VFHH,Annuity Properties Ltd,SOUTH AFRICA
643016,Anpec Electronics Corporation,TAIWAN
B081S6,ANSA Yatirim Holding A.S.,TURKEY
609494,Ansal Buildwell Limited,INDIA
628893,Ansal Housing & Construction Ltd.,INDIA
B14617,Ansal Properties & Infrastructure Ltd.,INDIA
B8KBPX,Anshu's Clothing Ltd.,INDIA
628370,Anson Perdana Bhd Myr1,MALAYSIA
B2NNMV,"Answer Technology Co., Ltd.",TAIWAN
B1YC5X,Ansys Limited,SOUTH AFRICA
B4VVJX,"Ant Precision Industry Co., Ltd",TAIWAN
641914,Anta Express Tour Idr100,INDONESIA
204515,Antarc Norte-Norde Com Npv,BRAZIL
204431,Antarc Polar(Ind B Com Npv,BRAZIL
203964,Antarc Polar(Ind B Prf Npv,BRAZIL
204461,AntarChile S.A.,CHILE
B0VX27,Antarctica Ltd.,INDIA
219475,Antarctica Paulista On,BRAZIL
669844,"Antec, Inc. (Taiwan)",TAIWAN
562218,Antenna Hungaria,HUNGARY
B2RCPC,Anu's Laboratories Limited,INDIA
B1VKJM,Anuh Pharma Limited,INDIA
B987C4,Anukaran Commercial Enterprises Limited,INDIA
603396,Anwar Sierad Idr500,INDONESIA
604458,"Anxin Trust & Investment Co., Ltd. Class A",CHINA
B0T769,ANY Security Printing Co. Plc,HUNGARY
641486,"AnYang Iron & Steel Co., Ltd. Class A",CHINA
653479,"Anyuan Coal Industry Group Co., Ltd. Class A",CHINA
633886,"AOCN Advanced Connectek, Inc.",TAIWAN
B17Q1F,Aonemicro Inc.,SOUTH KOREA
628445,Aopen Inc.,TAIWAN
B99J5K,AP (Thailand) Public Co. Ltd.,THAILAND
643170,Apac Opto Electronics Inc.,TAIWAN
672899,Apacer Technology Inc.,TAIWAN
B01WBY,APAR Industries Limited,INDIA
205187,Apasco Sa Series'B'Npv,MEXICO
B19ZG0,Apator S.A.,POLAND
B010Q2,APB Resources Bhd.,MALAYSIA
600141,APC Group Inc.,PHILIPPINES
638180,APCB Inc.,TAIWAN
BD00HL,Apcotex Industries Limited,INDIA
615963,Apeejay Tea Ltd Inr10,INDIA
629934,Apex Biotechnology Corp.,TAIWAN
686304,Apex Development PCL,THAILAND
604594,Apex Equity Holdings Bhd.,MALAYSIA
624882,Apex Healthcare Bhd.,MALAYSIA
B5P0RR,"Apex International Co., Ltd.",TAIWAN
643188,"Apex International Financial Engineering Res & Tech Co., Ltd.",TAIWAN
B1WMPJ,Apex Intl Clinical Twd10,TAIWAN
643109,Apex Medical Corp.,TAIWAN
BFZCHK,"Apex Mining Co.,Inc.",PHILIPPINES
604608,Apex Science & Engineering Corp.,TAIWAN
B1F5WH,Apexhi Properties Cl A,SOUTH AFRICA
B67G9Q,APFT Bhd.,MALAYSIA
B5LB3D,APIS Spolka Akcyjna,POLAND
B03CVQ,APL Apollo Tubes Limited,INDIA
672611,Apl Industry Bhd Myr1,MALAYSIA
632464,Aplab Limited,INDIA
B4ZC88,Aplisens S.A.,POLAND
620279,APM Automotive Holdings Bhd.,MALAYSIA
634568,APM Industries Limited,INDIA
B94LJV,APN Promise SA,POLAND
BD02KQ,"Apogee Optocom Co., Ltd.",TAIWAN
B73RJ5,Apollo Capital SA,POLAND
B02N1L,Apollo Finvest (India) Limited,INDIA
604547,Apollo Food Holdings Bhd.,MALAYSIA
627358,Apollo Hospitals Enterprise Limited,INDIA
616890,Apollo Tyres Limited.,INDIA
B3Q365,Apolonia Medical SA,POLAND
B3TZ5R,Appeninn Vagyonkezelo Holding Nyrt,HUNGARY
609970,Apple Finance Limited,INDIA
615445,Appleton Limited Zar0.001,SOUTH AFRICA
B03WFN,"Applied Vacuum Coating Technologies Co., Ltd.",TAIWAN
B011VB,Appro Technology Inc.,TAIWAN
627537,Apro Technology Co Krw500.00,SOUTH KOREA
BBHXGL,APS Energia SA,POLAND
615236,Aps Technologies Zar0.001,SOUTH AFRICA
B6SKWY,APTE Amalgamations Limited,INDIA
654808,Aptech Limited,INDIA
B55GPB,Aptos Technology Inc.,TAIWAN
B8VD7J,Aptus Industries Ltd.,INDIA
B5718R,AQUA Corp. Public Co. Ltd.,THAILAND
B60VMC,Aqua Logistics Limited,INDIA
616225,Aqua Online Hldgs Zar0.002,SOUTH AFRICA
734128,Aqua S.A.,POLAND
B7FNK1,Aqua SA,POLAND
609093,Aquila Growth Zar0.00002,SOUTH AFRICA
B7Y0GZ,Ar Tarim Organik Gida AS,TURKEY
634658,Arab Afric Intl Bk Usd5,EGYPT
B04FNX,Arab Aluminum Co. SAE,EGYPT
B0J00B,Arab Banking Corpo Egp10,EGYPT
B0485Y,Arab Cables Co Egp500,EGYPT
605085,Arab Ceramics Co.,EGYPT
601783,Arab Cotton Ginning Co.,EGYPT
B15VXH,Arab Dairy Products Co.,EGYPT
B1LT3N,Arab Heavy Industries PJSC,UNITED ARAB EMIRATES
B15VKJ,Arab Investment Ur Usd10,EGYPT
B04DJC,Arab Moltaka Investments Co.,EGYPT
604148,Arab Pharmaceuticals,EGYPT
651846,Arab Polvara Spinning & Weaving Co.,EGYPT
B05663,Arab Real Estate Investment Co.,EGYPT
B1RR75,Arab Valves Co.,EGYPT
B015P1,Arabia Investments Development Financial Investments Holding,EGYPT
B0MLBL,Arabian Scandinavian Insurance Co. PLC,UNITED ARAB EMIRATES
B02PY4,Arabtec Holding PJSC,UNITED ARAB EMIRATES
205110,Aracruz Celulose PNB,BRAZIL
B0LWK7,Aramex PJSC,UNITED ARAB EMIRATES
608734,Araneta Properties Inc.,PHILIPPINES
624736,Araontech Co. Ltd.,SOUTH KOREA
B03MP0,Arat Tekstil Sana Try1,TURKEY
283763,Araucaria Participacoes S/A,BRAZIL
600012,Aravali Securities & Finance Ltd.,INDIA
B291BP,ARB Holdings Limited,SOUTH AFRICA
B29VL5,Arbor Technology Corp.,TAIWAN
282388,Arca Continental SAB de CV,MEXICO
B28SKW,Arcadyan Technology Corporation,TAIWAN
617784,Arcay Group Zar2,SOUTH AFRICA
B1VKWX,Arcee Industries Limited,INDIA
B03MP1,Arcelik A.S.,TURKEY
B0R8PP,Arcelor Brasil SA,BRAZIL
618211,ArcelorMittal South Africa Limited,SOUTH AFRICA
B04Y9N,Arch Equity Ltd Zar0.01,SOUTH AFRICA
624812,Archana Software Limited,INDIA
B39TXZ,Archidply Industries Limited,INDIA
615764,Archies Limited,INDIA
B5NV6R,Archit Organosys Ltd.,INDIA
B606HV,Arclite Optronics Corp.,TAIWAN
B2NBT2,Arcotech Limited,INDIA
B56C56,Arctic Paper S.A.,POLAND
B245H6,Arcus S.A.,POLAND
B03JLZ,Arcuttipore Tea Co. Ltd.,INDIA
674333,Ardentec Corporation,TAIWAN
B87QT5,Ardor SA Limited,SOUTH AFRICA
B043CR,ArecelorMittal Inox Brasil SA,BRAZIL
B0FVFK,Areeya Property Public Co. Ltd.,THAILAND
B03MP2,Arena Bilgisayar Sanayi ve Ticaret A.S.,TURKEY
B058Z3,Ares Green Technology Corporation,TAIWAN
615127,Ares International Corp.,TAIWAN
B04KXH,Arex Industries Limited,INDIA
B3NS1W,Arezzo Industria e Comercio S.A.,BRAZIL
616914,Argent Industrial Limited,SOUTH AFRICA
665204,Argosy Research Inc.,TAIWAN
B1Z4X3,Argus Inc/Korea Krw500,SOUTH KOREA
B2Q1C0,ARI Consolidated Investments Limited,INDIA
B85KY7,"Arich Enterprise Co., Ltd.",TAIWAN
B23CDZ,Aries Agro Ltd.,INDIA
604965,Aries Inv Hldgs Npv,SOUTH AFRICA
632764,Arihant Capital Markets Limited,INDIA
637954,Arihant Foundations & Housing Limited,INDIA
613380,Arihant Superstructures Limited,INDIA
B03LFF,Arihants Securities Ltd.,INDIA
B01C7P,Arima Communications Corp.,TAIWAN
B4PBWP,Arima Lasers Corp.,TAIWAN
668397,Arima Optoelectronics Corp.,TAIWAN
613727,Arima Photovoltaic & Optical Corp.,TAIWAN
B0BMQK,Arion Technology Inc.,SOUTH KOREA
B431ZQ,ARIP PCL,THAILAND
601742,ARK Resources Bhd.,MALAYSIA
B1MJYK,Arkan Building Materials Company PJSC,UNITED ARAB EMIRATES
B5BM4L,Arkhangelsk Energy Rub0.05(Usd),RUSSIA
B16MXJ,Armada Bilgisayar Sistemleri Sanayi ve Ticaret A.S.,TURKEY
B5B8HV,Armada JSC,RUSSIA
609496,Arman Financial Services Limited,INDIA
B23Z3N,Armatura Krakow S.A.,POLAND
B03JRB,Arms Paper Limited,INDIA
B031LD,Arnav Corporation Limited,INDIA
632165,ARO Granite Industries Limited,INDIA
B6TXH2,Aroma Enterprises (India) Limited,INDIA
B23HHH,Aromasoft Corp.,SOUTH KOREA
604766,Aromatics Public Co. Ltd.,THAILAND
635125,Aroni Commercials Limited,INDIA
637195,Arora Fibres Limited,INDIA
B4PF96,"Array, Inc. (California)",TAIWAN
637955,Arrow Coated Products Limited,INDIA
B98BHR,Arrow Syndicate Public Co. Ltd.,THAILAND
B4KNSD,Arrow Textiles Limited,INDIA
B2PXZP,Arsagera Management Company OJSC,RUSSIA
B03MP3,Arsan Tekstil Ticaret ve Sanayi A.S.,TURKEY
B03PW8,Arshiya Limited,INDIA
B61D72,ARSS Infrastructure Projects Limited,INDIA
B8K28C,Art & Business Magazine SA,POLAND
B3D6FQ,Art NEW media S.A.,POLAND
B84Y0Q,Artech Power Products Ltd.,INDIA
B03G0X,Artefact Projects Limited,INDIA
245841,Artefactos Dom Nac 'I'Pen1,PERU
245938,Artefactos Dom Nac Pen1,PERU
B3WY2W,ARTEFE S.A.,POLAND
B1HVPY,Arteria S.A.,POLAND
B97Q0K,Arteris SA (Brazil),BRAZIL
692120,Arthaland Corporation,PHILIPPINES
B162J6,Arthur Lange Sa Prf Npv,BRAZIL
B151HS,Arti Yatirim Holding A.S.,TURKEY
B2Q3ZR,"Artis Co., Ltd.",SOUTH KOREA
B01R9F,Artman Sa Pln0.25,POLAND
634662,Artson Engineering Limited,INDIA
633737,Aruna Hotels Ltd.,INDIA
B4ZNFB,Arunjyoti Enterprises Limited,INDIA
B03JM8,Arvind International Ltd,INDIA
609971,Arvind Limited,INDIA
660382,Arvind Products Limited,INDIA
B7Y6WT,Arvind Remedies Limited,INDIA
642998,Aryaduta Hotels Idr500,INDONESIA
640658,Aryaman Financial Services Limited,INDIA
654833,Asahi India Glass Limited,INDIA
B04KXS,Asahi Industries Limited,INDIA
B0BP6G,Asahi Infrastructure & Projects Ltd.,INDIA
B1MHH0,Asahi Songwon Colors Ltd.,INDIA
605928,Asas Dunia Bhd.,MALAYSIA
B28PT9,ASBISc Enterprises Plc,CYPRUS
B8L1WN,Ascension Properties Ltd. Class A,SOUTH AFRICA
B0B567,Ascon Construction Public Co. Ltd.,THAILAND
B05KKN,Asdion Bhd.,MALAYSIA
605080,Asea Brown Boveri Ltd.,INDIA
B04CCH,ASEC Co. for Mining,EGYPT
637836,Asec International Corporation,TAIWAN
B87MWZ,Aseem Global Ltd.,INDIA
B03MP4,Aselsan Elektronik Sanayi ve Ticaret A.S.,TURKEY
B9JJYC,Ashapura Intimates Fashion Ltd.,INDIA
B11W6D,Ashapura Minechem Ltd,INDIA
608237,Ashco Niulab Industries Limited,INDIA
B03PK3,Ashiana Agro Industries Limited,INDIA
BFZ1XJ,Ashiana Housing Limited,INDIA
B03PK4,Ashiana Ispat Limited,INDIA
B1FWGB,Ashika Credit Capital Limited,INDIA
605272,Ashima Limited,INDIA
B5B8K0,Ashinskiy Metallurgical Works OJSC,RUSSIA
B126VB,Ashirwad Capital Limited,INDIA
B03HMQ,Ashirwad Steels & Industries Ltd,INDIA
B03JM9,Ashish Polyplast Limited,INDIA
B04KXV,Ashnoor Textile Mills Limited,INDIA
B03PK5,Ashok Alco-Chem Limited,INDIA
B01NFT,Ashok Leyland Limited,INDIA
BC43RR,Ashoka Buildcon Limited,INDIA
B7W5K4,Ashoka Refineries Ltd.,INDIA
B0566L,Ashutosh Paper Mills Ltd.,INDIA
609950,Asia Amalgamated Holdings Corp.,PHILIPPINES
B6ZG0Q,"Asia Aviation Public Co., Ltd.",THAILAND
B3KB66,Asia Bioenergy Technologies Bhd.,MALAYSIA
642722,Asia Brands Bhd.,MALAYSIA
605671,Asia Brands Corpor Myr1,MALAYSIA
BGCB6C,"Asia Cement Co., Ltd.",SOUTH KOREA
605633,Asia Cement Corporation,TAIWAN
BFTRL4,Asia Corporate Development Public Company Limited,THAILAND
B54SQ8,"Asia Electronic Material Co., Ltd.",TAIWAN
605644,Asia Fiber Public Co. Ltd.,THAILAND
604746,Asia File Corporation Bhd.,MALAYSIA
B4PMKP,Asia Green Energy PCL,THAILAND
605715,"Asia Holdings Co., Ltd.",SOUTH KOREA
605649,"Asia Hotel Public Co., Ltd.",THAILAND
